Name,Ticker,Sector,Sub-Sector,Market Cap,PE Ratio,Free Cash Flow,5Y Avg Cash Flow Margin,Total Equity,Total Debt,Operating Cash Flow,Capital Expenditure,Earnings Per Share,Return on Equity,ROCE,Dividend Yield,Debt to Equity,Close Price
Procter & Gamble Health Ltd,PGHL,Health Care,Pharmaceuticals,9065.669482,45.10732154,206.55,18.82154897,538.24,9.56,228.28,21.73,121.0767967,31.18071878,47.62186115,4.760640489,0.017761593,5422.75
Graphite India Ltd,GRAPHITE,Industrials,Electrical Components & Equipments,8989.23108,11.12390927,420.57,6.011317046,5615.16,177.12,680.26,259.69,41.36135857,15.27596356,17.94757384,2.390784612,0.03154318,495.9
PC Jeweller Ltd,PCJEWELLER,Consumer Discretionary,"Precious Metals, Jewellery & Watches",8910.108308,-14.15741119,63.73,-5.086020281,2931.35,4150.41,63.86,0.13,-1.352287777,-19.00844169,-4.256033635,,1.415869821,13.02
CE Info Systems Ltd,MAPMYINDIA,Information Technology,Software Services,8860.132411,66.14013445,45.11,23.4676329,659.71,25.73,75.52,30.41,24.86894469,22.28970291,26.47111296,0.213599461,0.039001986,1627.15
Genus Power Infrastructures Ltd,GENUSPOWER,Information Technology,Electronic Equipments,8830.6308,101.8879751,-225.62,6.277441346,1570.9,587.94,-151.95,73.67,3.423914715,6.794716005,11.09593046,0.234590546,0.374269527,276.1
Arvind Ltd,ARVIND,Consumer Discretionary,Apparel & Accessories,8807.556645,26.16546343,418.4,10.16327244,3620.7,1447.99,696.36,277.96,12.86908272,9.583257414,15.82310697,1.411003161,0.399919905,331.1
India Cements Ltd,INDIACEM,Materials,Cement,8760.793872,-38.53608636,216.58,9.126725495,5599.3,2618.25,343.91,127.33,-7.335979507,-3.979324457,-0.249497399,,0.467603093,274.85
Triveni Engineering and Industries Ltd,TRIVENI,Consumer Staples,Sugar,8749.351781,22.14128905,-256.31,6.335895515,2900.9,1423.94,100.25,356.56,18.05117412,14.19868311,17.58605127,1.43863151,0.490861457,396.35
Star Cement Ltd,STARCEMENT,Materials,Cement,8744.443322,29.63113186,-546.71,18.79658273,2710.12,146.94,489.75,1036.46,7.301442316,11.51311811,15.46002963,,0.054219001,215.26
Gujarat Mineral Development Corporation Ltd,GMDCLTD,Materials,Mining - Diversified,8740.866,14.16098177,-368.29,10.86494192,6116,2.98,108.6,476.89,19.41037736,10.37292972,12.04400712,3.474369702,0.000487247,265.63
MedPlus Health Services Ltd,MEDPLUS,Communication Services,Online Services,8728.910397,133.2658076,59.34,1.764975759,1577.37,1009.57,143.74,84.4,5.48478306,4.270063595,6.85355365,,0.640033727,755.65
India Shelter Finance Corporation Ltd,INDIASHLTR,Financials,Home Financing,8648.346729,34.92870246,-1238.57,0,2298.67,3415.1,-1232.33,6.24,32.84063799,13.9919021,5.586338943,,1.485685201,799.85
KPI Green Energy Ltd,KPIGREEN,Utilities,Renewable Energy,8638.575294,12.37582776,-244.13,20.90802072,835.68,1036.48,-57.49,186.64,40.64766367,127.6566172,54.47371836,0.03140237,1.240283362,425
Gallantt Ispat Ltd,GALLANTT,Materials,Iron & Steel,8592.014451,38.12572973,144.96,2.097253683,2450.74,461.91,344.33,199.37,9.340149095,9.639481839,12.71709859,0.280819994,0.188477766,365.05
Syrma SGS Technology Ltd,SYRMA,Information Technology,Electronic Equipments,8583.160579,79.96981812,-451.29,3.263188132,1677.03,629.89,-113.61,337.68,6.060333611,6.666604554,11.27024168,0.310072984,0.375598528,487.9
Gabriel India Ltd,GABRIEL,Consumer Discretionary,Auto Parts,8580.570756,48.00319304,13.81,0,1002.15,74.97,176.59,162.78,12.44396387,,23.46130578,0.669624173,0.07480916,578.55
Kama Holdings Ltd,KAMAHOLD,Industrials,Conglomerates,8554.545031,9.790833588,-92.66,18.07535754,12323.7,5021.64,2126.31,2218.97,272.2699733,7.547663669,11.38061863,3.788802401,0.407478274,2641.15
Epigral Ltd,EPIGRAL,Materials,Commodity Chemicals,8542.847751,43.61711299,-0.79,0,1309.1,909.04,397.64,398.43,47.13820823,15.74310747,18.07808374,0.243186811,0.694400733,1891.3
TTK Prestige Ltd,TTKPRESTIG,Consumer Discretionary,Home Electronics & Appliances,8510.071384,37.24646089,221.34,10.42768923,2087.8,179.54,288.9,67.56,16.48318114,11.34013967,14.15547025,0.977293941,0.085994827,611.85
Tips Music Ltd,TIPSMUSIC,Communication Services,Movies & TV Serials,8500.800735,66.84596001,230.16,45.54529735,179.5,5.01,232.95,2.79,9.902328288,80.56893056,66.88848006,0.906455243,0.027910864,652.5
Bengal & Assam Company Ltd,BENGALASM,Financials,Diversified Financials,8469.421918,2.176356504,1226.24,10.88369228,9241.24,421.62,1817.22,590.98,3444.977872,46.51912825,42.03016101,0.53351117,0.045623747,7111.1
Cartrade Tech Ltd,CARTRADE,Communication Services,Online Services,8458.40317,591.4967252,12.96,9.92472908,2156.89,112.48,15.87,2.91,3.051248145,0.668335168,2.03794986,,0.052149159,1683.6
Nazara Technologies Ltd,NAZARA,Consumer Discretionary,Theme Parks & Gaming,8453.368437,149.4320035,63.94,6.286510986,2334.55,27.7,90.79,26.85,7.927647388,3.098724248,4.073680482,,0.011865242,956.25
Anupam Rasayan India Ltd,ANURAS,Materials,Specialty Chemicals,8445.474965,65.66732731,-656.96,4.795053303,2930.66,1070.02,59.03,715.99,11.83978792,4.729412933,10.07804774,0.162492187,0.365112296,758.15
Paradeep Phosphates Ltd,PARADEEP,Materials,Fertilizers & Agro Chemicals,8440.685303,84.48288763,1025.26,10.61602539,3564.4,4013.71,1436.76,411.5,1.226434119,2.826668176,11.42812049,0.482649582,1.126054876,101.21
Transport Corporation of India Ltd,TCI,Industrials,Logistics,8405.89641,23.96275952,56.65,9.441500745,2037.08,193.68,299.31,242.66,45.17353448,18.61453599,18.10165975,0.647414712,0.095077267,1109.2
